student_id,session_id,topic,typing_speed,average_response_time_ms,backspace_frequency,rewrite_frequency,focus_loss_events,tab_switch_count,interaction_frequency,hesitation_index,focus_score,struggle_score,confidence_score,cognitive_state,accuracy_rate_proxy,fake_understanding,time_to_master_min,burnout_risk,accuracy_rate,attempt_count,quiz_score
17,1,Operating Systems,20.0,2128.691,0.1003,0.3854,5,5,15.243604265657904,0.5876190681818182,0.2710480605638629,0.33939333333333327,0.36355155794188615,Guessing,66.44,0,70.31905436297167,1,0.6644,4.0,66.44
17,2,Data Structures,37.145,1889.251,0.1792,0.2909,1,3,23.80988087766667,0.5415065934343435,0.3626597065825,0.30946833333333335,0.46346129795959845,Guessing,61.69,0,53.17340857903444,0,0.6169,3.0,61.69
19,3,Operating Systems,21.605,969.787,0.0813,0.4634,2,0,31.525403659110808,0.3693649671717172,0.5256077274433311,0.40543999999999997,0.46103944815724174,Guessing,57.12,0,47.476739960455525,0,0.5711999999999999,5.0,57.12
2,4,Machine Learning Basics,43.724,425.598,0.074,0.1756,1,1,37.5618560581027,0.1641185808080808,0.6330741490071988,0.15864166666666665,0.6915369575809476,Clear,92.47,0,23.537235683775975,0,0.9247,2.0,92.47
5,5,Data Structures,22.042,1256.14,0.2841,0.3534,1,3,25.994505117941447,0.47932606060606064,0.45139993124170374,0.394435,0.4383348202816021,Guessing,64.19,0,52.30720964928078,0,0.6419,4.0,64.19
23,6,Operating Systems,49.31,446.722,0.112,0.5172,1,4,34.96064506417697,0.28592606565656564,0.6111508951241844,0.3859883333333333,0.6815276086887705,Guessing,87.67,0,52.65912304592551,0,0.8767,5.0,87.67
17,7,Data Structures,32.553,1287.37,0.1153,0.2435,5,2,30.056769695466073,0.38228957070707065,0.4782977727159955,0.2865183333333333,0.485185271208738,Guessing,53.31,1,47.30765022284902,0,0.5331,3.0,53.31
8,8,Computer Networks,51.207,569.88,0.0357,0.2142,0,0,31.01901238136911,0.19650358585858588,0.5675134500031255,0.20237,0.6865291221221498,Guessing,85.86,0,33.71157661755196,0,0.8586,3.0,85.86
21,9,Machine Learning Basics,20.0,1287.691,0.1668,0.3562,4,5,29.782023086666182,0.4374646742424243,0.4762004874357107,0.41203499999999993,0.3686404450943495,Guessing,26.95,0,61.886483727440954,0,0.2695,4.0,26.95
29,10,Operating Systems,52.843,661.654,0.0821,0.4201,1,2,33.07692358277207,0.28689998484848483,0.5724593268707905,0.3723566666666666,0.6046109253339644,Guessing,47.36,0,48.996591372119845,0,0.4736,4.0,47.36
9,11,Machine Learning Basics,26.351,1073.79,0.1505,0.2322,2,3,32.56330172635203,0.35100941919191914,0.5215059058047831,0.29249166666666665,0.47886598386264706,Guessing,54.89,0,35.132523946287286,0,0.5489,3.0,54.89
14,12,Database Normalization,41.442,355.051,0.067,0.1721,1,3,35.00905777810219,0.14607184595959596,0.6219906761929093,0.16997333333333334,0.6613151759639334,Clear,82.66,1,31.28080064276124,0,0.8266,2.0,82.66
9,13,Operating Systems,32.606,1162.082,0.1164,0.632,3,1,25.16321504236161,0.46815414646464654,0.4559147413891407,0.51499,0.45708255044704527,Guessing,48.94,0,60.84567709915303,0,0.4894,6.0,48.94
24,14,Machine Learning Basics,48.727,682.688,0.0765,0.01,0,1,30.666610462650326,0.17351572727272724,0.5519780927555917,0.08518999999999999,0.6738266937357684,Clear,85.54,0,22.970169160824486,0,0.8554,1.0,85.54
23,15,Data Structures,20.761,585.764,0.0861,0.5763,3,0,34.175045731034345,0.32650591919191924,0.5893683858399005,0.46110500000000004,0.5026440028731822,Guessing,66.99,0,44.88339198424748,0,0.6698999999999999,6.0,66.99
10,16,Data Structures,54.99,700.405,0.0472,0.2532,1,3,35.80120395111735,0.23579354797979796,0.5884627439190944,0.23003833333333332,0.6872910409787586,Guessing,77.77,0,35.56952041612407,0,0.7777,3.0,77.77
1,17,Machine Learning Basics,27.746,1849.34,0.1913,0.3835,6,4,23.593140348100693,0.5680157575757576,0.3655954097536124,0.3944916666666667,0.39496500928972006,Confused,49.55,0,63.87481162905993,1,0.4955,4.0,49.55
26,18,Operating Systems,27.617,709.768,0.2882,0.5237,3,1,31.776757723739497,0.414447595959596,0.5572093400709034,0.4833916666666667,0.5022000376273316,Guessing,63.19,0,56.89436857397695,0,0.6319,5.0,63.19
11,19,Database Normalization,20.0,910.968,0.1606,0.1733,1,1,31.079898270631148,0.29902214141414146,0.5289886084583051,0.2480783333333333,0.4546032613253703,Guessing,51.63,0,40.5608762961172,0,0.5163,2.0,51.63
27,20,Operating Systems,59.999,779.8,0.0801,0.4848,1,4,32.28253872628363,0.3342839898989899,0.5529990404471272,0.39773499999999995,0.6607927386492897,Guessing,66.27,0,51.61303655802713,0,0.6627,5.0,66.27
28,21,Database Normalization,52.531,462.137,0.1113,0.5113,1,2,34.19954286339705,0.2876074671717172,0.6036809143326207,0.44902499999999995,0.6064062792240286,Guessing,44.31,0,47.96095129676735,0,0.44310000000000005,5.0,44.31
